job_id,title,formatted_work_type,remote_allowed,normalized_salary,formatted_experience_level,location,listed_time,skills_combined,num_skills,listed_month,cluster_k8,cluster_k10,cluster_k12,cluster,cluster_label
1219205895,Director of Training,Full-time,,130000.0,,"New York, NY",2024-04-09 03:54:38,Human Resources,1,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
1448163866,Office Manager,Full-time,,67500.0,,"Chino, CA",2024-04-06 20:57:00,Administrative,1,2024-04,7,6,5,6,Administrative & Legal
1586552873,Equity Institutional Sales Position,Full-time,,,,New York City Metropolitan Area,2024-04-11 17:50:19,"Sales, Finance, Research",3,2024-04,5,5,10,5,Finance & Sales
1826257634,Social Security Specialist / Retirement Benefit Advisor (Remote),Full-time,1.0,45760.0,,"Colorado, United States",2024-04-15 20:38:46,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
1880409118,Board Certified Behavior Analyst,Full-time,,,,"McDonough, GA",2024-04-19 06:42:23,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
2011147642,Lead Installer,Full-time,,,,"Fresno, CA",2024-04-17 23:51:42,Information Technology,1,2024-04,0,9,11,9,Information Technology & Digital
2147609712,Med-RN ER,Full-time,,117332.8,,"Murrieta, CA",2024-04-12 06:46:24,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
2147609754,Workflow Coordinator Hospitality - Mon - Fri 8am-5pm,Full-time,,,,"San Antonio, TX",2024-04-12 06:46:24,Other,1,2024-04,3,4,4,4,Other / Unclassified
2147609766,Sales Representative,Full-time,,110000.0,,"Ogden, UT",2024-04-12 06:46:24,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
2147609774,Dental Hygienist - choose your shift,Full-time,,,,"Huntington, NY",2024-04-12 06:46:24,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
2147609785,FP&A Analyst,Full-time,,,,"Dallas, TX",2024-04-12 06:46:24,"Finance, Sales",2,2024-04,5,5,10,5,Finance & Sales
2147609789,Entry Level Oracle Financial Technology Consultant,Full-time,,,Entry level,"East Chicago, IN",2024-04-12 06:32:53,Finance,1,2024-04,5,5,10,5,Finance & Sales
2147609816,Maintenance Mechanic,Full-time,,,,"Suffolk, VA",2024-04-12 06:46:24,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
2147609835,Trade Review Principal,Full-time,,,,"Urbandale, IA",2024-04-12 06:46:23,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
2147609840,Mover/Junk Hauler/Crew Member,Temporary,,46800.0,,"St Louis, MO",2024-04-12 06:46:23,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
2147609858,Dental CAD/CAM Designer - $20-$30/hour,Full-time,,,,"Memphis, TN",2024-04-12 06:46:23,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
2147609929,Production Planner,Full-time,,,,"Hanover, PA",2024-04-12 06:46:23,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
2195921577,Associate Planner,Full-time,,,,"Waco, TX",2024-04-17 22:00:08,Other,1,2024-04,3,4,4,4,Other / Unclassified
2234533717,Full Stack Engineer,Full-time,1.0,,,United States,2024-04-19 02:22:33,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
2269442456,Computer Scientist,Volunteer,1.0,,,United States,2024-04-19 02:31:59,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
2314566469,Front end specialist,Full-time,,,,"Baton Rouge, LA",2024-04-12 02:32:04,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
2428973832,Staff Accountant,Full-time,,,,"Cumberland, MD",2024-04-19 12:35:18,"Accounting/Auditing, Finance",2,2024-04,5,7,10,7,Accounting & Finance
2457183642,Quality Assurance Manager,Full-time,,,Mid-Senior level,"Hebron, KY",2024-04-19 13:27:38,"Quality Assurance, Project Management",2,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
2558399667,"Validation Engineer, Labware LIMS",Contract,,135200.0,Mid-Senior level,"Foster City, CA",2024-04-18 22:47:21,"Manufacturing, Information Technology, Quality Assurance",3,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
2737009242,Service Manager,Full-time,,85000.0,,"Los Angeles, CA",2024-04-19 04:10:51,"Customer Service, Information Technology",2,2024-04,0,8,8,8,"HR, Education & Quality Assurance"
2747409392,Robot Monitor & Maintenance Technician,Full-time,,,,"Sunnyvale, CA",2024-04-09 06:01:46,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
2748500131,Director of Public Works,Full-time,,142812.8,,"Germantown, TN",2024-04-18 19:48:49,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
2826285517,"Assistant Director of Admission, Midwest Regional Representative",Full-time,1.0,,,"Minneapolis, MN",2024-04-11 17:21:58,"Education, Training",2,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
2838336689,Executive Assistant,Full-time,,,,"Holladay, UT",2024-04-18 22:33:59,Administrative,1,2024-04,7,6,5,6,Administrative & Legal
2914254129,Director of Operations,Full-time,,57500.0,,"Muncie, IN",2024-04-09 12:46:23,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
2934066464,Fundraising Associate,Full-time,,,,New York City Metropolitan Area,2024-04-05 20:01:32,Other,1,2024-04,3,4,4,4,Other / Unclassified
2954591060,Social Media Coordinator,Full-time,,55120.0,,"Los Angeles, CA",2024-04-18 19:09:22,"Marketing, Sales",2,2024-04,6,5,3,5,Finance & Sales
2957460032,Professional Window Cleaning Technician,Full-time,,67600.0,,"Omaha, NE",2024-04-05 19:53:03,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
2974397965,Marketing Coordinator,Full-time,,80000.0,,"Richardson, TX",2024-04-18 20:19:57,"Marketing, Sales",2,2024-04,6,5,3,5,Finance & Sales
2987175317,Construction Project Manager,Full-time,,,,Raleigh-Durham-Chapel Hill Area,2024-04-16 18:47:05,"Project Management, Information Technology",2,2024-04,0,9,11,9,Information Technology & Digital
3018278978,Seasonal Office Administrator,Contract,,,Entry level,"Dayton, OR",2024-04-06 09:20:49,Administrative,1,2024-04,7,6,5,6,Administrative & Legal
3040487795,Digital Marketing Intern,Internship,,52000.0,,"Redmond, WA",2024-04-18 16:56:47,"Marketing, Sales",2,2024-04,6,5,3,5,Finance & Sales
3045980831,Project Engineer,Full-time,,75000.0,,"Kailua-Kona, HI",2024-04-18 23:01:12,"Project Management, Engineering",2,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
3117273910,Administrative Assistant,Full-time,,,,"Wilmington, NC",2024-04-17 21:34:17,Administrative,1,2024-04,7,6,5,6,Administrative & Legal
3127577086,Histologist - HT,Full-time,,,,"Bellingham, WA",2024-04-18 16:36:29,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
3169712432,Salesforce Vlocity Developer,Contract,,,,"Jersey City, NJ",2024-04-15 20:02:24,Information Technology,1,2024-04,0,9,11,9,Information Technology & Digital
3177010992,Customer Service Representative,Full-time,,90000.0,Entry level,"Greater Orlando, FL",2024-04-18 17:44:43,"Customer Service, Sales",2,2024-04,6,8,8,8,"HR, Education & Quality Assurance"
3190494363,Architectural Designer,Full-time,,,,"Fort Myers, FL",2024-04-18 16:50:21,"Design, Art/Creative, Information Technology",3,2024-04,0,9,11,9,Information Technology & Digital
3211657373,Heavy Equipment Operator,Full-time,,55120.0,,"La Salle, CO",2024-04-18 16:46:23,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
3219089287,Recruitment Manager,Full-time,1.0,95000.0,,"Minnesota, United States",2024-04-18 16:35:16,Human Resources,1,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
3245063922,Data Architect,Contract,,,,"San Francisco, CA",2024-04-19 14:27:02,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
3251984218,SAP BTP,Contract,1.0,,,United States,2024-04-15 20:15:42,Information Technology,1,2024-04,0,9,11,9,Information Technology & Digital
3260455681,Operations Specialist,Full-time,,90927.5,,"Castle Rock, WA",2024-04-16 14:55:36,Other,1,2024-04,3,4,4,4,Other / Unclassified
3270034794,Commercial Construction Project Managers/Superintendents,Full-time,,,,"Land O' Lakes, FL",2024-04-11 18:12:04,"Project Management, Information Technology",2,2024-04,0,9,11,9,Information Technology & Digital
3273249702,CPA,Full-time,,135000.0,,"Palm Springs, CA",2024-04-18 22:26:51,"Accounting/Auditing, Finance",2,2024-04,5,7,10,7,Accounting & Finance
3277232283,HR & Administrative Assistant,Full-time,1.0,63500.0,,United States,2024-04-12 03:38:15,Human Resources,1,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
3297645846,Contract Administrator,Full-time,,82200.0,,"Broomfield, CO",2024-04-15 20:13:38,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
3299509053,Project Manager,Full-time,,,,"Tacoma, WA",2024-04-09 03:41:56,"Project Management, Information Technology",2,2024-04,0,9,11,9,Information Technology & Digital
3322949022,"Director, Investment Sales",Full-time,,20000.5,,"Littleton, CO",2024-04-18 19:33:27,"Finance, Sales",2,2024-04,5,5,10,5,Finance & Sales
3328787598,Pharmacy Technician,Contract,,,,"Lake County, IL",2024-04-15 19:35:59,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
3363439517,Sanitation Supervisor,Full-time,,54080.0,,"Stanton, CA",2024-04-18 17:14:59,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
3364366864,Trial Attorney,Full-time,,,,"King of Prussia, PA",2024-04-15 19:11:17,Legal,1,2024-04,6,6,7,6,Administrative & Legal
3366698309,Anaplan Developer,Full-time,1.0,,Mid-Senior level,United States,2024-04-18 20:08:59,Information Technology,1,2024-04,0,9,11,9,Information Technology & Digital
3377655935,Senior Account Manager,Full-time,,,,"Edina, MN",2024-04-18 15:34:37,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
3379554375,Finishing Editor,Full-time,,,,"Lincoln, Nebraska Metropolitan Area",2024-04-15 19:37:48,"Marketing, Public Relations, Writing/Editing",3,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
3383214611,Account Executive - Mid-Market,Full-time,1.0,,Mid-Senior level,"Chicago, IL",2024-04-11 18:09:34,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
3386174836,Administrative Assistant Project Coordinator,Full-time,,,,"Collierville, TN",2024-04-18 00:12:12,"Project Management, Information Technology",2,2024-04,0,9,11,9,Information Technology & Digital
3407282046,Motion Graphic Designer and Film Editor,Full-time,,,,"New York, NY",2024-04-09 12:20:45,"Design, Art/Creative, Information Technology",3,2024-04,0,9,11,9,Information Technology & Digital
3438939828,Legal Assistant / Paralegal,Full-time,,,,"Vineland, NJ",2024-04-16 14:51:25,Legal,1,2024-04,6,6,7,6,Administrative & Legal
3438976411,Accounting Specialist,Full-time,,47500.0,,"Kalispell, MT",2024-04-05 20:36:32,"Accounting/Auditing, Finance",2,2024-04,5,7,10,7,Accounting & Finance
3458210342,Clinical Trainee / Pre-Liscneded Therapist,Full-time,,14000.0,,Greater Minneapolis-St. Paul Area,2024-04-18 17:12:49,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
3466187886,Owner,Full-time,,75000.0,,"Columbus, Ohio Metropolitan Area",2024-04-19 13:49:54,"Business Development, Sales",2,2024-04,4,3,6,3,Sales & Business Development
3475821770,Tax Associate,Full-time,,,,"Menlo Park, CA",2024-04-17 23:38:28,"Accounting/Auditing, Finance",2,2024-04,5,7,10,7,Accounting & Finance
3475933396,Senior Developer,Full-time,,,Associate,Greater Philadelphia,2024-04-19 14:47:44,Information Technology,1,2024-04,0,9,11,9,Information Technology & Digital
3478606637,Energy and Asset Coordinator,Full-time,,,,Raleigh-Durham-Chapel Hill Area,2024-04-19 12:33:28,"Finance, Sales",2,2024-04,5,5,10,5,Finance & Sales
3480552482,Summer Intern for Women International Company,Internship,1.0,,,United States,2024-04-18 14:09:52,"Education, Training",2,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
3483544074,Social Media Marketing Specialist Internship,Internship,,,,"Finksburg, MD",2024-04-18 16:56:10,"Marketing, Sales",2,2024-04,6,5,3,5,Finance & Sales
3486250934,Chief Executive Officer,Part-time,1.0,,,United States,2024-04-09 10:28:01,"Business Development, Sales",2,2024-04,4,3,6,3,Sales & Business Development
3487703305,Leasing & Property Management Specialist (Part-Time with Growth Potential),Part-time,,46800.0,,"San Diego, CA",2024-04-19 18:02:38,"Sales, Management",2,2024-04,6,5,3,5,Finance & Sales
3492110889,Group Fitness Instructor,Part-time,,,,"Oklahoma City, OK",2024-04-11 18:52:54,Other,1,2024-04,3,4,4,4,Other / Unclassified
3499072207,Commercial Litigation Associate Attorney,Full-time,,,Associate,"Jacksonville, FL",2024-04-19 15:23:21,Legal,1,2024-04,6,6,7,6,Administrative & Legal
3511440340,Assistant Director,Full-time,,57200.0,,"Kirkland, WA",2024-04-19 02:47:42,"Business Development, Sales",2,2024-04,4,3,6,3,Sales & Business Development
3514667133,Marketing Manager,Full-time,,,,"Fort Worth, TX",2024-04-15 19:57:54,"Marketing, Sales",2,2024-04,6,5,3,5,Finance & Sales
3520238337,Grants Writer - Subcontract,Contract,1.0,,,United States,2024-04-18 16:44:30,Other,1,2024-04,3,4,4,4,Other / Unclassified
3527189387,Retail Salesperson,Full-time,,31200.0,,"Orlando, FL",2024-04-18 15:13:37,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
3530975184,Administrator of College & Career Development,Full-time,,72644.0,,"Rochester, NY",2024-04-18 18:08:07,"Education, Training",2,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
3531344675,Eastern Regional Sales Coordinator,Full-time,,,,"Neptune, NJ",2024-04-15 20:26:15,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
3533320307,Java architect / Lead Java developer,Full-time,,,,"Jersey City, NJ",2024-04-11 17:08:59,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
3540371917,Enterprise Data & Analytics Infrastructure Manager,Full-time,,,,"Cleveland, OH",2024-04-18 14:45:18,Information Technology,1,2024-04,0,9,11,9,Information Technology & Digital
3544166785,Heating Air Conditioning Technician,Full-time,,,,"San Antonio, TX",2024-04-18 15:19:11,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
3547664337,Brand Representative,Contract,1.0,,,United States,2024-04-09 06:31:54,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
3548616699,Mental Health Therapist,Part-time,,114400.0,,"Aliquippa, PA",2024-04-15 19:48:42,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
3555161614,User Experience Designer,Contract,1.0,,,"California, United States",2024-04-06 23:28:14,"Design, Art/Creative, Information Technology",3,2024-04,0,9,11,9,Information Technology & Digital
3564676727,Corporate Controller,Full-time,,100000.0,,"Flourtown, PA",2024-04-06 00:20:46,"Accounting/Auditing, Finance",2,2024-04,5,7,10,7,Accounting & Finance
3566954493,CT Technologist,Full-time,,,,"Chattanooga, TN",2024-04-18 20:21:27,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
3574102287,Administrative Assistant Bookkeeper,Full-time,,,,"Columbus, Ohio Metropolitan Area",2024-04-17 23:53:33,"Accounting/Auditing, Finance",2,2024-04,5,7,10,7,Accounting & Finance
3580530332,Elementary School Teacher,Full-time,,,,"Lane, OK",2024-04-17 22:20:10,"Education, Training",2,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
3581219846,Private Fitness Instructor,Part-time,,83200.0,,"Washington, DC",2024-04-18 20:16:36,Other,1,2024-04,3,4,4,4,Other / Unclassified
3582587683,Accounts Analyst,Full-time,,35000.0,,"Indiana, PA",2024-04-11 19:11:08,"Accounting/Auditing, Finance",2,2024-04,5,7,10,7,Accounting & Finance
3583960568,Sales and Application Engineer,Full-time,1.0,,,"Louisiana, United States",2024-04-19 14:01:26,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
3586167732,Senior Software Engineer,Full-time,,,,San Francisco Bay Area,2024-04-17 23:33:53,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
3592392532,Drone-Car Engineer,Full-time,,60000.0,,"Trenton, NJ",2024-04-12 01:11:04,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
3594311833,Marketing Manager,Full-time,1.0,,,United States,2024-04-09 12:12:50,"Marketing, Sales",2,2024-04,6,5,3,5,Finance & Sales
3599918756,Maintenance Manager,Full-time,,,,"Fond du Lac, WI",2024-04-17 21:25:59,"Management, Manufacturing",2,2024-04,1,1,0,1,Manufacturing & Operations
3606129051,Primary Care Leader Needed,Full-time,,,,"Fresno, CA",2024-04-18 17:10:38,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
3609090859,Field Director,Full-time,,77500.0,,"Phoenix, AZ",2024-04-18 16:05:16,"Public Relations, Project Management, Strategy/Planning",3,2024-04,6,8,9,8,"HR, Education & Quality Assurance"
3610032286,Sales Development Representative,Full-time,1.0,65407.0,,"Oregon, United States",2024-04-05 19:53:17,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
3610591138,Ophthalmic Technician,Full-time,,,,"Fairbanks, AK",2024-04-17 22:26:50,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
3610596223,Commercial Auto Underwriter Assistant,Full-time,1.0,43680.0,,"Texas, United States",2024-04-06 18:34:15,"Finance, Sales",2,2024-04,5,5,10,5,Finance & Sales
3614817348,Tool and Die Maker,Full-time,,69680.0,Associate,Cincinnati Metropolitan Area,2024-04-18 22:43:13,Manufacturing,1,2024-04,1,1,0,1,Manufacturing & Operations
3619548798,Senior Mechanical Engineer,Full-time,,170000.0,Mid-Senior level,"Redwood City, CA",2024-04-12 01:25:31,Engineering,1,2024-04,6,2,1,2,Engineering & IT
3625991523,DDI Engineer,Contract,,,,"Jersey City, NJ",2024-04-16 14:19:19,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
3626110567,Mechanical Design Engineer,Full-time,,72500.0,,"Cedar Rapids, IA",2024-04-19 14:19:54,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
3635014033,Associate Attorney,Full-time,,,,"Marietta, GA",2024-04-18 14:31:29,Legal,1,2024-04,6,6,7,6,Administrative & Legal
3635916819,Medical Consultant,Contract,,,,"Brooklyn, NY",2024-04-18 21:57:31,Health Care Provider,1,2024-04,2,0,2,0,Healthcare
3636873993,Skilled Painter for Fabrication Shop,Full-time,,38480.0,,"Brookhaven, MS",2024-04-17 23:48:03,"Design, Art/Creative, Information Technology",3,2024-04,0,9,11,9,Information Technology & Digital
3639866700,Blender Animator (Contract),Contract,1.0,,Mid-Senior level,"Dallas, TX",2024-04-11 19:30:26,"Design, Art/Creative, Information Technology",3,2024-04,0,9,11,9,Information Technology & Digital
3642223753,Yoga Teacher,Contract,,124800.0,,"Queens, NY",2024-04-15 20:33:59,Other,1,2024-04,3,4,4,4,Other / Unclassified
3644730777,Experienced Growth Consultants with OD/OCM experience,Contract,1.0,200000.0,,United States,2024-04-18 18:09:09,"Marketing, Sales",2,2024-04,6,5,3,5,Finance & Sales
3649948789,Project Assistant,Full-time,,72500.0,,"Bronx, NY",2024-04-18 17:46:12,Administrative,1,2024-04,7,6,5,6,Administrative & Legal
3651735073,Director of Finance,Full-time,,105000.0,,"Detroit, MI",2024-04-19 02:30:55,"Finance, Sales",2,2024-04,5,5,10,5,Finance & Sales
3651779099,Car Salesperson,Full-time,,57250.0,,"Memphis, TN",2024-04-19 14:09:51,"Sales, Business Development",2,2024-04,4,3,6,3,Sales & Business Development
3656167404,Executive Personal Assistant,Full-time,1.0,60000.0,,"Miami, FL",2024-04-05 19:37:02,Administrative,1,2024-04,7,6,5,6,Administrative & Legal
3658924039,MEP Engineer,Full-time,,85000.0,,"Lakewood, CO",2024-04-15 20:29:45,"Engineering, Information Technology",2,2024-04,0,2,1,2,Engineering & IT
